SoTcD_1,SoTcR_1,DTB_1,SoTcD_2,SoTcR_2,DTB_2,SoTcD_3,SoTcR_3,DTB_3,SoTcD_4,SoTcR_4,DTB_4,SoTcD_5,SoTcR_5,DTB_5,SoTcD_6,SoTcR_6,DTB_6,KetQua
17,2,6.54,7,0,7.26,17,4,5.78,9,3,7.22,23,0,6.76,22,0,7.53,0
17,0,6.91,9,2,8.02,18,2,6.27,12,3,6.34,22,3,6.77,18,0,7.35,0
17,0,7.32,14,2,6.74,22,0,6.68,7,0,7.06,19,0,6.31,22,0,7.79,0
19,0,7.09,10,0,6.46,21,0,6.41,12,0,6.71,19,0,6.62,14,0,7.22,0
12,5,5.92,0,3,0,10,5,5.6,14,3,5.41,17,0,5.86,23,2,6.7,0
12,7,6.94,0,3,0,8,2,5.78,12,0,5.85,15,4,7.32,20,0,6.52,0
17,2,6.75,4,3,9.4,17,4,5.64,11,0,5.19,21,2,6.36,18,2,6.55,0
17,2,6.64,4,0,8.65,11,7,4.71,6,6,6.1,9,3,6.88,11,0,7.48,0
14,3,6.6,4,3,8.65,15,4,6.53,11,6,5.79,19,0,6.34,20,2,7.21,0
9,7,6.17,9,5,7.07,14,11,6.2,6,2,5.2,2,10,8,0,3,0,0
15,2,6.19,7,2,5.94,12,8,4.58,0,0,0,0,0,0,0,0,0,0
17,2,6.15,7,5,7.6,2,7,4.3,0,0,0,0,10,0,0,0,0,0
17,2,6.19,7,2,6.87,8,5,5.35,6,0,5.45,2,0,8,0,3,0,0
15,2,6.57,2,0,9.6,17,4,6.29,9,4,5.33,3,7,5.1,0,0,0,0
17,0,6.14,2,5,9.5,0,2,0,0,0,0,0,0,0,0,0,0,0
14,0,6.82,18,0,6.57,18,2,7.27,11,2,7.63,21,2,6.89,19,0,6.86,0
14,0,6.74,13,3,5.66,16,0,6.74,11,2,5.53,25,0,6.59,22,0,7.64,0
8,4,4.69,8,3,4.98,22,0,5.64,16,2,5.86,24,0,6.46,17,4,7.01,0
14,0,6.55,13,5,4.98,18,0,5.89,12,2,7.29,21,0,6.4,18,3,6.61,0
15,0,7.2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,6.42,10,5,5.37,22,0,6.75,0,11,0,0,0,0,0,0,0,0
9,0,5.87,6,10,5.95,2,9,8.5,0,0,0,0,0,0,0,0,0,0
14,0,7.87,15,3,7.08,20,0,6.29,0,10,0,0,0,0,0,0,0,0
14,0,7.11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,5.67,21,0,5.3,11,0,5.79,16,3,5.91,21,2,6.22,23,2,5.86,0
13,2,7.32,19,0,6.2,2,0,6.3,0,4,0,21,2,6.63,4,19,6.4,0
15,0,7.81,19,0,7.29,15,0,7.57,12,0,7.83,23,0,8.28,25,0,7.93,0
13,2,6.15,12,7,5.85,11,0,6.43,14,3,6.19,25,0,6.54,22,3,6.19,0
8,7,5.88,15,2,5.78,14,0,6.31,14,0,5.73,25,0,6.78,25,0,5.49,0
3,12,5.4,0,10,0,0,9,0,8,9,5.54,14,13,5.64,5,20,4.86,0
15,0,5.99,17,0,5.91,16,0,6.41,15,1,6.14,21,2,6,0,24,0,0
0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,5.75,14,5,5.21,11,0,5.79,12,3,5.63,3,20,7.6,0,0,0,0
13,2,6.89,17,0,6.22,11,0,7.85,0,4,0,0,0,0,0,0,0,0
8,7,6.23,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,9,5.18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,6.82,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,7.97,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,6.55,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0
18,0,7.43,17,0,7.88,21,0,7.4,12,0,8.43,19,0,8.55,19,0,8.69,1
19,0,7.65,9,0,6.96,19,0,6.92,13,0,7.98,23,0,8.39,22,0,8.95,1
18,0,7.54,17,0,7.84,21,0,8.15,12,0,8.53,19,0,8.76,19,0,8.99,1
19,0,7.27,18,0,7.12,20,0,7.82,10,0,8.12,19,0,8.34,19,0,8.16,1
17,0,7.22,11,0,6.75,19,0,6.25,20,0,7.79,21,0,7.54,19,0,7.08,1
17,0,7.24,14,0,5.89,17,3,6.29,14,0,7.34,22,0,7.91,19,0,7.9,1
19,0,6.58,7,7,7.43,19,2,6.62,15,0,6.32,21,0,6.85,19,0,7.61,1
19,0,7.42,7,2,8.14,26,0,6.68,15,0,7.57,21,0,7,16,0,7.11,1
17,0,7.95,2,5,8.2,0,0,0,0,0,0,0,0,0,0,0,0,1
19,0,7.12,12,2,6.23,24,0,6.85,14,0,6.51,17,2,7.32,19,0,7.34,1
17,0,6.71,5,0,6.62,24,0,6.28,15,0,6.38,23,2,6.4,19,0,7.78,1
15,2,6.57,5,2,6.24,2,16,5.3,0,0,0,0,0,0,0,0,0,1
17,0,6.29,11,3,6.33,14,5,6.54,13,0,5.98,22,0,6.45,19,2,7.61,1
15,2,6.56,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,1
19,0,6.98,9,2,7.69,22,0,6.11,15,0,6.25,23,0,6.57,19,0,7.18,1
17,0,6.6,14,2,6.9,22,0,5.43,13,0,6.12,24,2,6.75,19,0,7.97,1
17,0,6.71,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1
14,0,7.71,16,2,6.91,18,0,7.62,14,2,7.39,23,0,7.14,0,9,0,1
9,0,7.52,14,0,8.79,17,0,8.42,14,0,8.19,21,0,8.21,16,0,8.09,1
14,0,7.44,16,2,5.34,18,0,7.03,14,0,6.67,21,0,6.99,18,4,6.88,1
14,0,6.91,16,2,6.21,17,0,7.81,13,4,7.2,25,0,6.99,20,1,6.28,1
14,0,7.28,18,0,6.58,19,0,7.17,12,0,7.01,24,0,7.91,15,1,6.76,1
15,0,6.47,17,0,5.7,18,0,7.44,19,0,7.49,23,0,7.2,16,2,7.09,1
14,0,7.39,18,0,5.41,20,0,6.5,11,2,6.39,21,0,7,16,3,6.81,1
15,0,7.53,17,0,6.36,20,0,7.32,12,2,7.88,21,0,7.81,18,0,7.09,1
14,0,7.98,18,0,7.15,20,0,7.27,14,0,7.72,21,0,7.98,16,0,7.58,1
14,0,7.14,18,0,6.07,20,0,6.76,14,0,6.56,21,0,6.89,21,0,6.63,1
14,0,7.59,18,0,6.44,20,0,7.25,11,3,6.8,21,0,6.81,16,0,6.4,1
12,0,6.64,15,3,6.09,18,0,6.86,0,12,0,23,0,7.14,22,0,7.19,1
14,0,6.28,18,0,5.47,19,0,6.98,14,0,7.17,21,0,7.33,18,0,7.83,1
14,0,6.2,18,0,6.73,20,0,7.03,14,2,7.19,23,0,6.75,18,0,6.42,1
12,0,6.67,15,3,7.21,17,0,7.81,17,0,7.43,23,0,7.93,19,0,8.19,1
14,0,6.57,18,0,5.77,18,0,7.34,14,0,6.87,23,0,7.37,18,3,7.62,1
12,0,7.59,18,0,5.36,18,0,7.06,0,7,0,21,2,6.81,15,7,6.79,1
0,5,0,0,5,0,6,7,6.73,0,12,0,0,16,0,3,4,5.6,1
13,0,7.95,17,0,8.22,18,0,8.47,16,0,8.43,21,0,8.95,19,0,8.95,1
15,0,5.47,16,3,4.83,14,0,6.46,15,1,5.83,23,0,6.49,25,0,5.96,1
15,0,7.74,19,0,7.49,13,0,8.06,12,0,7.88,23,0,8.83,25,0,8.45,1
13,2,8.78,17,0,6.75,13,0,7.4,14,1,7.17,23,0,8.27,25,0,7.84,1
15,0,7.75,19,0,6.8,13,0,8.09,12,0,8.6,23,0,8.83,25,0,8.75,1
15,0,8.15,19,0,6.52,14,0,7.17,14,0,7.1,23,0,7.3,25,0,7.74,1
15,0,6.51,9,8,6.24,13,0,6.55,18,0,6.51,23,0,7.17,24,0,6.38,1
15,0,6.46,19,0,6.28,14,0,7.26,17,0,7.1,23,0,7.68,25,0,6.55,1
13,2,7.1,17,0,6.46,13,0,7.57,14,0,7.74,23,0,7.69,25,0,7.44,1
15,0,6.42,17,0,6.55,9,0,7.81,17,0,7.79,25,0,8.06,25,0,7.51,1
15,0,7.4,14,3,6.36,13,0,6.7,15,0,6.57,23,0,7.47,25,0,6.9,1
15,0,7.21,14,3,6.74,11,0,7.05,17,1,7.68,23,0,7.32,8,17,5.01,1
13,2,7.28,17,2,6.01,13,0,7.24,12,0,6.93,23,0,7.52,25,0,6.98,1
13,2,5.88,14,5,5.44,13,0,7.08,17,0,7.04,23,0,7.25,23,2,6.91,1
15,0,7.62,17,0,6.62,11,0,7.47,14,1,8.04,23,0,8.22,25,0,7.89,1
15,0,8.23,17,2,7.08,11,0,7.35,12,0,8.63,23,0,7.69,25,0,7.43,1
15,0,6.39,16,3,5.58,11,0,6.94,18,0,7.43,23,0,7.59,25,0,7.52,1
15,0,7.88,19,0,6.54,11,0,7.07,14,0,7.73,23,0,7.71,25,0,7.38,1
15,0,7.28,19,0,6.13,11,0,6.69,11,3,7.16,23,0,7.27,25,0,6.57,1
15,0,7.41,14,3,6.67,11,0,7.87,17,0,8.21,23,0,8.34,25,0,8.01,1
15,0,6.39,12,5,5.83,11,2,6.29,17,1,6.16,25,0,7.22,25,0,6.94,1
15,0,7.15,19,0,6.88,13,0,7.51,11,1,7.48,23,0,8.48,25,0,8.45,1
15,0,6.96,19,0,5.69,11,0,6.75,16,1,7.13,23,0,7.63,25,0,7.62,1
15,0,8,19,0,6.45,13,0,7.24,14,0,7.72,23,0,7.91,22,1,5.9,1
15,0,7.68,16,3,6.3,14,0,7.74,13,1,6.7,25,0,7.71,25,0,7.55,1
15,0,6.71,19,0,6.36,13,0,6.58,14,0,6.92,23,0,7.7,25,0,7.32,1
15,0,6.73,19,0,5.99,18,0,6.77,16,0,7.38,25,0,8.1,25,0,8.23,1
11,4,7,16,3,6.19,18,0,6.37,0,0,0,13,2,5.95,8,11,5.74,1
15,0,6.97,17,2,6.49,7,0,6.87,13,0,6.81,23,2,6.7,22,1,6.28,1
13,2,6.6,14,3,5.43,13,0,5.95,17,1,6.65,23,0,6.46,23,0,6.9,1
15,0,8.13,19,0,6.27,14,0,7.04,11,1,6.34,23,0,6.63,24,1,6.52,1
15,0,6.57,14,3,5.63,11,0,6.6,21,0,6.27,23,0,7.26,25,0,6.24,1
15,0,6.65,14,3,5.38,11,0,6.62,18,0,6.07,25,0,7.36,25,0,6.58,1
15,0,8.72,19,0,7.85,13,0,8.42,12,0,8.92,23,0,8.85,25,0,8.88,1